Year,Player,GP,PPG,PTS,FGA,FG%,rFG%
2021,Christian Wood,41,11.3,462,364,63.5,7.4
2018,DeMarcus Cousins,48,11.3,544,481,56.5,1.2
2007,Dwyane Wade,51,11.3,576,455,63.3,8.5
2005,Pau Gasol,56,11.3,630,554,56.9,3.8
2021,Pascal Siakam,56,11.3,630,588,53.6,-2.5
2015,Russell Westbrook,67,11.3,754,738,51.1,-2.4
2016,Thaddeus Young,73,11.3,826,731,56.5,2.5
2018,LaMarcus Aldridge,75,11.3,850,702,60.5,5.2
2013,Blake Griffin,80,11.3,900,696,64.7,11
2018,Russell Westbrook,80,11.3,900,832,54.1,-1.2
2011,Al Jefferson,82,11.3,930,855,54.4,-0.1
2001,Antawn Jamison,82,11.3,928,858,54.1,2.1
2012,Al Jefferson,61,11.2,686,615,55.8,2.3
2010,Andrew Bynum,65,11.2,726,611,59.4,4
2012,Marcin Gortat,66,11.2,740,615,60.2,6.7
1997,Alonzo Mourning,66,11.2,736,639,57.6,5.6
2014,Anthony Davis,67,11.2,752,637,59,5
2019,Jrue Holiday,67,11.2,748,652,57.4,1.8
2021,Deandre Ayton,69,11.2,772,567,68.1,12
2010,Tyreke Evans,72,11.2,806,745,54.1,-1.3
2015,Nikola Vucevic,74,11.2,832,740,56.2,2.7
1998,Corliss Williamson,79,11.2,882,780,56.5,3.2
2006,Tony Parker,80,11.2,892,694,64.3,10.4
2013,Greg Monroe,81,11.2,906,855,53,-0.7
2003,Pau Gasol,82,11.2,922,817,56.4,3.9
1997,Antoine Walker,82,11.2,918,1025,44.8,-7.2
2014,Brook Lopez,17,11.1,188,158,59.5,5.5
2010,Monta Ellis,64,11.1,710,660,53.8,-1.6
2017,Clint Capela,65,11.1,720,557,64.6,9.5
2021,Luka Doncic,66,11.1,732,620,59,2.9
2020,DeMar DeRozan,68,11.1,756,644,58.7,3.1
2018,Enes Freedom,71,11.1,788,642,61.4,6
1997,Rony Seikaly,74,11.1,818,762,53.7,1.7
2009,Yao Ming,77,11.1,856,737,58.1,3.6
2005,Dwyane Wade,77,11.1,856,793,54,0.9
1997,Patrick Ewing,78,11.1,868,795,54.6,2.6
2008,Andrew Bogut,78,11.1,862,796,54.1,-0.3
2019,James Harden,78,11.1,862,800,53.9,-1.7
2013,David Lee,79,11.1,880,778,56.6,2.9
