Year,Player,GP,PPG,PTS,FGA,eFG%,reFG%
2018,Chris Paul,58,10.7,623,554,56.2,6.8
2022,Darius Garland,68,10.7,726,672,54,3.8
2017,Devin Booker,78,10.7,837,915,45.7,-2.6
2021,Devin Booker,67,10.7,717,716,50.1,-1.7
2020,Donovan Mitchell,69,10.7,739,708,52.2,1.7
1998,Isaiah Rider,74,10.7,790,886,44.6,1.7
2002,Jamal Mashburn,40,10.7,427,510,41.9,-2
2019,Kawhi Leonard,60,10.7,640,633,50.6,1
2021,Kemba Walker,43,10.7,459,461,49.8,-2
2014,Kevin Love,77,10.7,824,823,50.1,3.3
2011,Kobe Bryant,82,10.7,879,995,44.2,-1.8
2003,Michael Finley,69,10.7,739,804,46,2.6
2007,Michael Redd,53,10.7,567,589,48.1,2.7
2011,Monta Ellis,80,10.7,858,962,44.6,-1.3
2000,Terrell Brandon,71,10.7,762,779,48.9,5.3
2020,Brandon Ingram,62,10.6,657,623,52.7,2.2
2016,Chris Paul,74,10.6,786,787,49.9,2.8
2001,David Wesley,82,10.6,867,963,45,1.5
2012,Deron Williams,55,10.6,585,641,45.6,1
2021,Duncan Robinson,72,10.6,760,633,60,8.2
2021,Gary Trent Jr.,58,10.6,613,579,52.9,1.1
2003,Jason Terry,81,10.6,861,862,49.9,6.6
2008,Joe Johnson,82,10.6,872,930,46.9,0.8
2014,JR Smith,74,10.6,785,757,51.8,5.1
2020,Kevin Love,56,10.6,594,540,55,4.5
2005,Mike Bibby,80,10.6,845,922,45.8,1.4
2010,Mo Williams,69,10.6,729,674,54.1,8.4
2004,Paul Pierce,80,10.6,851,1007,42.3,-0.9
2002,Peja Stojakovic,71,10.6,753,727,51.8,8
2008,Rashard Lewis,81,10.6,859,770,55.8,9.7
2009,Ray Allen,79,10.6,841,751,56,9.6
2000,Reggie Miller,81,10.6,859,826,52,8.3
2009,Richard Hamilton,67,10.6,707,783,45.1,-1.3
2010,Richard Hamilton,46,10.6,489,575,42.5,-3.1
2001,Ron Mercer,61,10.6,646,773,41.8,-1.7
2018,Victor Oladipo,75,10.6,797,809,49.3,-0.2
2003,Vince Carter,43,10.6,457,514,44.5,1.1
1999,Allen Iverson,48,10.5,506,630,40.2,-1.9
2012,Joe Johnson,60,10.5,629,629,50,5.3
2013,JR Smith,80,10.5,839,871,48.2,2
2020,Karl-Anthony Towns,35,10.5,368,322,57.1,6.7
2020,Marcus Morris Sr.,62,10.5,652,598,54.5,4
2006,Mike James,79,10.5,827,756,54.7,9.6
2004,Allen Iverson,48,10.4,499,661,37.7,-5.4
2013,Damian Lillard,82,10.4,851,842,50.5,4.4
2019,Devin Booker,64,10.4,664,700,47.4,-2.1
2020,Devin Booker,70,10.4,729,729,50,-0.5
2004,Eddie Jones,81,10.4,845,883,47.8,4.7
1999,Glenn Robinson,47,10.4,489,530,46.1,4.1
2012,Jason Terry,63,10.4,654,646,50.6,6
1998,Joe Dumars,72,10.4,750,725,51.7,8.9
2005,Joe Johnson,82,10.4,849,778,54.6,10.2
2013,Kevin Durant,81,10.4,841,802,52.4,6.3
2005,Kobe Bryant,66,10.4,684,794,43.1,-1.3
2021,Lonzo Ball,55,10.4,574,525,54.7,2.9
2009,O.J. Mayo,82,10.4,851,833,51.1,4.7
1998,Rex Chapman,68,10.4,709,718,49.4,6.5
2013,Ryan Anderson,81,10.4,841,793,53,6.9
2020,Tim Hardaway Jr.,71,10.4,735,645,57,6.5
2021,Tim Hardaway Jr.,70,10.4,727,661,55,3.2
2017,Zach LaVine,47,10.4,490,470,52.1,3.8
2006,Antawn Jamison,82,10.3,841,902,46.6,1.5
2001,Antoine Walker,81,10.3,836,851,49.1,5.6
2022,D'Angelo Russell,65,10.3,669,686,48.8,-1.4
2017,Dirk Nowitzki,54,10.3,557,570,48.9,0.6
2003,Eddie Jones,47,10.3,486,476,51.1,7.7
2022,Evan Fournier,80,10.3,824,729,56.5,6.3
1997,Glenn Robinson,80,10.3,820,861,47.6,4.7
2001,Jamal Mashburn,76,10.3,783,963,40.7,-2.8
2009,Jameer Nelson,42,10.3,434,360,60.3,13.8
2004,Jason Terry,81,10.3,836,880,47.5,4.4
2005,Kirk Hinrich,77,10.3,795,830,47.9,3.5
2016,Kyle Lowry,77,10.3,790,748,52.8,5.7
2021,Malcolm Brogdon,56,10.3,579,532,54.4,2.6
2008,Mike Bibby,48,10.3,493,501,49.2,3.1
2001,Peja Stojakovic,75,10.3,775,769,50.4,6.9
2003,Peja Stojakovic,72,10.3,745,718,51.9,8.5
2010,Raja Bell,6,10.3,62,56,55.4,9.7
2008,Ray Allen,73,10.3,753,685,55,8.9
2002,Reggie Miller,79,10.3,816,770,53,9.2
2003,Sam Cassell,78,10.3,803,836,48,4.7
2015,Wesley Matthews,60,10.3,618,558,55.4,9.1
1998,Allan Houston,82,10.2,836,887,47.1,4.3
2002,Antoine Walker,81,10.2,827,909,45.5,1.7
2016,Brandon Knight,52,10.2,532,585,45.5,-1.6
1997,Dale Ellis,82,10.2,834,935,44.6,1.7
2014,Damian Lillard,82,10.2,840,763,55,8.3
2005,Damon Stoudamire,81,10.2,828,882,46.9,2.6
2008,Danny Granger,80,10.2,815,797,51.1,5.1
2001,Dirk Nowitzki,82,10.2,835,810,51.5,8
2002,Eddie Jones,81,10.2,823,878,46.9,3.1
2017,Eric Gordon,75,10.2,765,714,53.6,5.3
2004,Gilbert Arenas,55,10.2,561,599,46.8,3.7
2010,Jamal Crawford,79,10.2,808,778,51.9,6.3
2015,James Harden,81,10.2,830,830,50,3.7
2016,Khris Middleton,79,10.2,807,814,49.6,2.5
2014,Kyle Korver,71,10.2,721,567,63.6,16.8
2015,Kyle Korver,75,10.2,763,557,68.5,22.2
2014,Kyrie Irving,71,10.2,721,788,45.7,-1
2003,Latrell Sprewell,74,10.2,758,827,45.8,2.5
2021,Michael Porter Jr.,61,10.2,624,498,62.7,10.9
1997,Mookie Blaylock,78,10.2,797,852,46.8,3.8
2006,Peja Stojakovic,71,10.2,727,747,48.7,3.6
1998,Ray Allen,82,10.2,833,892,46.7,3.8
2007,Vince Carter,82,10.2,840,892,47.1,1.6
2011,Carmelo Anthony,77,10.1,781,840,46.5,0.5
2000,Dirk Nowitzki,82,10.1,828,827,50.1,6.4
2000,Gary Payton,82,10.1,831,938,44.3,0.6
2022,Jaylen Brown,66,10.1,666,644,51.7,1.5
2014,JJ Redick,35,10.1,355,323,55,8.2
2004,Kevin Garnett,82,10.1,827,938,44.1,1
2016,Kobe Bryant,66,10.1,667,853,39.1,-8
2020,Kristaps Porzingis,57,10.1,574,595,48.2,-2.3
2015,Kyrie Irving,75,10.1,755,686,55,8.8
