Year,Player,GP,PPG,PTS,FGA,eFG%,reFG%
2015,David Lee,49,1.0,48,61,39.3,-6.9
2022,David Nwaba,46,1.0,45,49,45.9,-4.3
2015,David Stockton,3,1.0,3,2,75,28.7
2002,Dee Brown,7,1.0,7,20,17.5,-26.3
2022,Deividas Sirvydis,3,1.0,3,7,21.4,-28.8
1998,DeJuan Wheat,34,1.0,34,31,54.8,12
2017,Demetrius Jackson,5,1.0,5,3,83.3,35
2022,Dennis Smith Jr.,37,1.0,38,52,36.5,-13.7
2000,Derek Strong,20,1.0,19,28,33.9,-9.7
2001,Derrick Dial,33,1.0,34,51,33.3,-10.2
2004,DeSagana Diop,56,1.0,54,78,34.6,-8.5
2004,Desmond Penigar,10,1.0,10,11,45.5,2.3
2015,Devyn Marble,16,1.0,16,26,30.8,-15.5
2016,Devyn Marble,28,1.0,28,47,29.8,-17.3
2018,Deyonta Davis,62,1.0,60,69,43.5,-6
2014,Donald Sloan,48,1.0,50,65,38.5,-8.3
2006,Donell Taylor,51,1.0,50,71,35.2,-9.9
2007,Doug Christie,7,1.0,7,14,25,-20.5
2015,Dwight Powell,29,1.0,29,35,41.4,-4.8
2016,Dwight Powell,69,1.0,70,120,29.2,-17.9
2012,Earl Clark,45,1.0,44,75,29.3,-15.3
2004,Eddie Gill,22,1.0,23,26,44.2,1.1
2000,Eldridge Recasner,7,1.0,7,7,50,6.3
2016,Elliot Williams,5,1.0,5,9,27.8,-19.3
2007,Eric Snow,82,1.0,86,128,33.6,-11.9
1998,Eric Snow,64,1.0,64,102,31.4,-11.5
2002,Erick Barkley,19,1.0,19,40,23.8,-20.1
2005,Francisco Elson,67,1.0,69,102,33.8,-10.6
2009,Francisco Elson,59,1.0,57,68,41.9,-4.5
2011,Francisco Elson,62,1.0,60,72,41.7,-4.3
2003,Frank Williams,21,1.0,20,19,52.6,9.3
1997,Frankie King,7,1.0,7,6,58.3,15.4
2003,Fred Hoiberg,63,1.0,63,89,35.4,-7.9
2000,Fred Vinson,8,1.0,8,10,40,-3.7
2018,Gary Payton II,23,1.0,22,32,34.4,-15.1
2019,Gary Payton II,3,1.0,3,2,75,25.4
1997,Gaylon Nickerson,4,1.0,4,8,25,-17.9
2010,Glen Davis,54,1.0,52,81,32.1,-13.5
2020,Goga Bitadze,54,1.0,56,77,36.4,-14.1
2009,Greg Buckner,63,1.0,61,81,37.7,-8.8
2017,Greg Monroe,81,1.0,82,99,41.4,-6.9
2015,Ian Clark,30,1.0,30,38,39.5,-6.8
2001,Ira Newble,27,1.0,26,34,38.2,-5.3
2021,Isaac Bonga,40,1.0,39,48,40.6,-11.2
2022,Isaiah Stewart,71,1.0,71,77,46.1,-4.1
2013,Ish Smith,52,1.0,50,71,35.2,-11
2012,Ivan Johnson,56,1.0,54,85,31.8,-12.9
2004,Jabari Smith,31,1.0,32,48,33.3,-9.8
1998,Jacque Vaughn,45,1.0,45,74,30.4,-12.5
2017,Jahlil Okafor,50,1.0,48,74,32.4,-15.9
2015,Jamaal Franklin,3,1.0,3,2,75,28.7
2004,Jamaal Magloire,82,1.0,80,139,28.8,-14.3
2013,Jared Cunningham,8,1.0,8,7,57.1,11
2005,Jared Jeffries,77,1.0,78,106,36.8,-7.6
2009,Jared Jeffries,56,1.0,55,86,32,-14.5
2013,Jared Sullinger,45,1.0,47,63,37.3,-8.9
2020,Jarrell Brantley,9,1.0,9,13,34.6,-15.9
2017,Jarrett Jack,2,1.0,2,2,50,1.7
2002,Jarron Collins,70,1.0,72,92,39.1,-4.7
2005,Jarron Collins,50,1.0,52,70,37.1,-7.2
2014,Jarvis Varnado,24,1.0,24,20,60,13.2
1997,Jason Caffey,75,1.0,72,90,40,-2.9
2003,Jason Collins,81,1.0,82,122,33.6,-9.7
2007,Jason Maxiell,67,1.0,64,83,38.6,-6.9
2009,Jawad Williams,10,1.0,10,9,55.6,9.1
2022,Jaxson Hayes,70,1.0,70,77,45.5,-4.8
2020,Jaylen Nowell,15,1.0,15,29,25.9,-24.6
2022,Jeff Dowtin,9,1.0,9,15,30,-20.2
2019,Jemerrio Jones,6,1.0,6,13,23.1,-26.5
2004,Jerome Beasley,2,1.0,2,1,100,56.9
2003,Jeryl Sasser,75,1.0,75,112,33.5,-9.9
1997,Jimmy King,2,1.0,2,1,100,57.1
2010,Joe Smith,64,1.0,63,113,27.9,-17.8
1997,Joe Stephens,2,1.0,2,3,33.3,-9.6
1997,Joe Wolf,56,1.0,56,66,42.4,-0.5
2014,Joel Freeland,52,1.0,54,62,43.5,-3.2
2010,Joey Graham,63,1.0,62,83,37.3,-8.3
2011,John Lucas III,2,1.0,2,3,33.3,-12.6
2003,John Salmons,64,1.0,64,74,43.2,-0.1
2018,Johnathan Motley,11,1.0,11,15,36.7,-12.8
2013,Jonas Valanciunas,62,1.0,60,73,41.1,-5.1
2021,Jontay Porter,11,1.0,11,10,55,3.2
2016,Jordan Adams,2,1.0,2,3,33.3,-13.8
2010,Josh McRoberts,42,1.0,44,52,42.3,-3.3
1997,Jud Buechler,76,1.0,78,110,35.5,-7.5
2020,Justin James,36,1.0,37,43,43,-7.5
2008,Keith Langford,2,1.0,2,2,50,3.9
2012,Kelenna Azubuike,3,1.0,3,5,30,-14.7
2019,Kenneth Faried,37,1.0,36,31,58.1,8.5
2013,Kent Bazemore,61,1.0,62,81,38.3,-7.9
2006,Kevin Burleson,39,1.0,38,69,27.5,-17.6
2005,Kevin Martin,45,1.0,43,61,35.2,-9.1
2009,Kevin Ollie,50,1.0,48,78,30.8,-15.7
2004,Kevin Willis,48,1.0,50,77,32.5,-10.6
2016,Kevon Looney,5,1.0,5,4,62.5,15.4
1999,Korleone Young,3,1.0,3,5,30,-12.1
2009,Kris Humphries,29,1.0,30,38,39.5,-7
2021,KZ Okpala,37,1.0,38,54,35.2,-16.6
2021,Lamar Stevens,40,1.0,38,55,34.5,-17.2
2011,Lance Stephenson,12,1.0,12,20,30,-15.9
2012,Larry Hughes,9,1.0,9,19,23.7,-21
2013,Larry Sanders,71,1.0,70,113,31,-15.2
2001,Lawrence Funderburke,59,1.0,60,88,34.1,-9.4
2001,Lee Nailon,42,1.0,42,52,40.4,-3.1
2006,Lorenzen Wright,78,1.0,78,126,31,-14.1
2018,Lorenzo Brown,14,1.0,14,20,35,-14.5
2004,Luke Walton,72,1.0,71,85,41.8,-1.3
2013,Maalik Wayns,27,1.0,27,50,27,-19.2
2014,Maalik Wayns,2,1.0,2,2,50,3.2
2021,Malik Fitts,3,1.0,3,2,75,23.2
2000,Marcus Camby,59,1.0,60,83,36.1,-7.5
2011,Marcus Cousin,4,1.0,4,2,100,54.1
2008,Mardy Collins,46,1.0,46,67,34.3,-11.7
2011,Marquis Daniels,49,1.0,48,68,35.3,-10.6
2018,Marquis Teague,3,1.0,3,9,16.7,-32.8
2007,Maurice Ager,32,1.0,33,41,40.2,-5.2
2005,Melvin Ely,79,1.0,80,133,30.1,-14.3
2006,Melvin Ely,57,1.0,56,75,37.3,-7.8
2008,Melvin Ely,52,1.0,50,54,46.3,0.2
2022,Melvin Frazier,3,1.0,3,21,7.1,-43.1
2005,Michael Curry,18,1.0,18,21,42.9,-1.5
2006,Michael Sweetney,66,1.0,66,103,32,-13.1
1999,Micheal Williams,2,1.0,2,4,25,-17.1
2017,Mike Scott,18,1.0,18,38,23.7,-24.6
2005,Mikki Moore,74,1.0,71,95,37.4,-7
1999,Mikki Moore,2,1.0,2,1,100,57.9
1998,Monty Williams,72,1.0,71,108,32.9,-10
2001,Nazr Mohammed,58,1.0,58,88,33,-10.5
2003,Nazr Mohammed,35,1.0,36,57,31.6,-11.8
2004,Nazr Mohammed,80,1.0,82,108,38,-5.1
2007,Nazr Mohammed,51,1.0,50,62,40.3,-5.1
2005,Ndudi Ebi,2,1.0,2,7,14.3,-30.1
1999,Negele Knight,6,1.0,6,7,42.9,0.8
2016,Noah Vonleh,78,1.0,75,108,34.7,-12.4
2013,Nolan Smith,40,1.0,38,64,29.7,-16.5
1999,Oliver Miller,4,1.0,4,2,100,57.9
2014,Orlando Johnson,45,1.0,43,66,32.6,-14.2
2004,Othella Harrington,56,1.0,54,77,35.1,-8
1998,Othella Harrington,58,1.0,58,79,36.7,-6.2
2014,Otto Porter Jr.,37,1.0,38,60,31.7,-15.1
2019,P.J. Dozier,6,1.0,6,10,30,-19.6
2004,Pat Garrity,2,1.0,2,3,33.3,-9.8
2015,Patrick Christopher,4,1.0,4,8,25,-21.3
2019,Patrick McCaw,29,1.0,29,31,46.8,-2.8
2009,Paul Davis,27,1.0,28,47,29.8,-16.6
2010,Paul Davis,2,1.0,2,2,50,4.4
2008,Paul Millsap,82,1.0,82,111,36.9,-9.1
2005,Peter John Ramos,6,1.0,6,6,50,5.6
2014,Peyton Siva,24,1.0,25,30,41.7,-5.1
2001,Popeye Jones,45,1.0,45,69,32.6,-10.9
2003,Predrag Savovic,27,1.0,28,53,26.4,-16.9
2003,Randy Livingston,2,1.0,2,2,50,6.7
2006,Rasho Nesterovic,80,1.0,76,110,34.5,-10.5
2017,Raul Neto,40,1.0,38,42,45.2,-3.1
2005,Reece Gaines,21,1.0,20,36,27.8,-16.6
2018,Reggie Hearn,3,1.0,3,2,75,25.5
2014,Robin Lopez,82,1.0,82,101,40.6,-6.2
2005,Royal Ivey,62,1.0,65,84,38.7,-5.7
2003,Ruben Patterson,78,1.0,75,126,29.8,-13.6
2003,Ryan Bowen,62,1.0,64,76,42.1,-1.2
2005,Ryan Bowen,66,1.0,63,71,44.4,0
2004,Ryan Humphrey,2,1.0,2,3,33.3,-9.8
2017,Ryan Kelly,16,1.0,16,18,44.4,-3.9
1999,Sam Jacobson,2,1.0,2,2,50,7.9
2012,Samardo Samuels,54,1.0,56,70,40,-4.7
2005,Samuel Dalembert,72,1.0,72,123,29.3,-15.1
2010,Samuel Dalembert,82,1.0,78,103,37.9,-7.8
1998,Scott Brooks,43,1.0,43,40,53.8,10.9
2003,Sean Marks,23,1.0,24,39,30.8,-12.6
2011,Sean Marks,29,1.0,30,31,48.4,2.4
1998,Shandon Anderson,82,1.0,85,126,33.7,-9.1
2019,Shaquille Harrison,73,1.0,76,101,37.6,-11.9
1997,Sharone Wright,60,1.0,60,97,30.9,-12
2004,Shawn Bradley,66,1.0,68,88,38.6,-4.5
2021,Sindarius Thornwell,21,1.0,21,25,42,-9.8
2014,Solomon Hill,28,1.0,27,27,50,3.2
2020,Taj Gibson,62,1.0,64,78,41,-9.5
2004,Theron Smith,20,1.0,20,23,43.5,0.4
2017,Tiago Splitter,8,1.0,8,7,57.1,8.8
2015,Timofey Mozgov,81,1.0,80,111,36,-10.2
2012,Tobias Harris,42,1.0,40,50,40,-4.7
1997,Tom Hammonds,81,1.0,84,96,43.8,0.8
2017,Tomas Satoransky,57,1.0,57,66,43.2,-5.1
2022,Tomas Satoransky,55,1.0,57,83,34.3,-15.9
2017,Tony Allen,71,1.0,69,98,35.2,-13.1
2000,Tony Farmer,74,1.0,74,105,35.2,-8.4
2000,Tony Massenburg,10,1.0,10,11,45.5,1.8
1998,Tony Massenburg,61,1.0,60,88,34.1,-8.8
2004,Travis Best,61,1.0,63,103,30.6,-12.5
2022,Tre Jones,69,1.0,72,88,40.9,-9.3
2019,Trevon Duval,3,1.0,3,2,75,25.4
2010,Trey Gilder,2,1.0,2,1,100,54.4
2013,Tristan Thompson,82,1.0,84,113,37.2,-9
1998,Troy Hudson,8,1.0,8,10,40,-2.9
2014,Tyler Zeller,70,1.0,72,75,48,1.2
2022,Tyrell Terry,2,1.0,2,1,100,49.8
2015,Tyrus Thomas,2,1.0,2,1,100,53.7
2019,Udonis Haslem,10,1.0,10,22,22.7,-26.8
2002,Vinny Del Negro,2,1.0,2,3,33.3,-10.5
2002,Vitaly Potapenko,79,1.0,76,104,36.5,-7.3
2022,Wayne Selden,3,1.0,3,2,75,24.8
2006,Wayne Simien,43,1.0,44,59,37.3,-7.8
2007,Wayne Simien,8,1.0,8,10,40,-5.5
2003,Zach Randolph,77,1.0,76,118,32.2,-11.1
2013,Zaza Pachulia,52,1.0,52,58,44.8,-1.3
2020,Zion Williamson,24,1.0,24,25,48,-2.5
2006,Zoran Planinic,56,1.0,54,88,30.7,-14.4
2004,Aaron Williams,72,0.9,63,87,36.2,-6.9
2022,Abdel Nader,14,0.9,12,13,46.2,-4.1
2001,Adrian Griffin,44,0.9,39,53,36.8,-6.7
2013,Al-Farouq Aminu,76,0.9,70,126,27.8,-18.4
2003,Alan Henderson,82,0.9,72,99,36.4,-7
2015,Alex Len,69,0.9,61,94,32.4,-13.8
2020,Alex Len,55,0.9,50,65,38.5,-12
2015,Alonzo Gee,54,0.9,47,57,41.2,-5
2016,Alonzo Gee,73,0.9,65,89,36.5,-10.6
2016,Andre Miller,39,0.9,34,33,51.5,4.4
2008,Andrew Bogut,78,0.9,68,114,29.8,-16.2
2010,Andrew Bynum,65,0.9,58,77,37.7,-8
1999,Andrew Gaze,19,0.9,17,23,37,-5.1
2017,Andrew Nicholson,38,0.9,33,54,30.6,-17.7
2012,Anthony Carter,24,0.9,21,38,27.6,-17
2001,Anthony Johnson,53,0.9,47,84,28,-15.5
2018,Antonius Cleveland,17,0.9,15,13,57.7,8.2
2011,Armon Johnson,38,0.9,35,37,47.3,1.4
2016,Aron Baynes,81,0.9,72,83,43.4,-3.7
2006,Arvydas Macijauskas,19,0.9,17,31,27.4,-17.7
2013,Ben Hansbrough,28,0.9,24,33,36.4,-9.8
2005,Bernard Robinson,31,0.9,27,34,39.7,-4.7
1999,Bob Sura,50,0.9,43,81,26.5,-15.5
2003,Bostjan Nachbar,14,0.9,12,21,28.6,-14.8
2003,Brandon Armstrong,17,0.9,15,21,35.7,-7.6
2002,Brian Scalabrine,28,0.9,25,37,33.8,-10
2011,Brian Scalabrine,18,0.9,16,16,50,4.1
2021,Bruce Brown,65,0.9,59,72,41,-10.8
2000,Bruno Sundov,14,0.9,12,15,40,-3.7
2014,Carrick Felix,7,0.9,6,8,37.5,-9.3
2020,Charlie Brown Jr.,10,0.9,9,9,50,-0.5
1997,Cherokee Parks,76,0.9,70,84,41.7,-1.3
2019,Chris Chiozza,7,0.9,6,6,50,0.4
2010,Chris Hunter,60,0.9,52,70,37.1,-8.5
2007,Chris Kaman,75,0.9,66,109,30.3,-15.2
2016,Christian Wood,17,0.9,16,20,40,-7.1
2002,Chucky Brown,18,0.9,16,18,44.4,0.6
2016,Cleanthony Early,17,0.9,16,27,29.6,-17.5
2010,Coby Karl,7,0.9,6,11,27.3,-18.4
1999,Corey Beck,24,0.9,21,25,42,-0.1
2003,Corey Benjamin,9,0.9,8,19,21.1,-22.3
2013,Dahntay Jones,78,0.9,67,113,29.6,-16.5
2022,Daishen Nix,24,0.9,21,26,40.4,-9.8
1998,Dale Davis,78,0.9,70,87,40.2,-2.6
2011,Damien Wilkins,52,0.9,48,55,43.6,-2.3
2007,Damir Markota,30,0.9,26,33,39.4,-6.1
2007,Darko Milicic,80,0.9,72,116,31,-14.4
2011,Darnell Jackson,59,0.9,55,69,39.9,-6.1
2005,David Harrison,43,0.9,38,38,50,5.6
2018,David Nwaba,70,0.9,60,60,50,0.5
2017,DeAndre Liggins,62,0.9,57,64,44.5,-3.8
2021,DeAndre' Bembry,51,0.9,44,58,37.9,-13.9
2008,Demetris Nichols,14,0.9,13,21,31,-15.1
2019,Deonte Burton,32,0.9,30,36,41.7,-7.9
2020,Deonte Burton,39,0.9,34,60,28.3,-22.2
2013,Derrick Favors,77,0.9,72,120,30,-16.2
2019,Devin Robinson,7,0.9,6,9,33.3,-16.2
2000,Dikembe Mutombo,82,0.9,76,101,37.6,-6
2001,Dikembe Mutombo,75,0.9,64,93,34.4,-9.1
1998,Dikembe Mutombo,82,0.9,74,109,33.9,-8.9
1997,Dikembe Mutombo,80,0.9,68,117,29.1,-13.9
2009,DJ Mbenga,23,0.9,20,23,43.5,-2.9
2012,Dominic McGuire,64,0.9,58,79,36.7,-8
2005,Donta Smith,38,0.9,36,47,38.3,-6.1
2013,Drew Gooden,16,0.9,15,27,27.8,-18.4
2019,Dwight Howard,9,0.9,8,10,40,-9.6
2012,Earl Watson,50,0.9,46,79,29.1,-15.6
2005,Eddy Curry,63,0.9,58,108,26.9,-17.5
2003,Eduardo Najera,48,0.9,44,61,36.1,-7.3
2005,Elden Campbell,40,0.9,34,62,27.4,-17
1997,Elmer Bennett,9,0.9,8,13,30.8,-12.2
2009,Emeka Okafor,82,0.9,72,109,33,-13.4
2019,Enes Freedom,67,0.9,58,85,34.1,-15.5
2012,Eric Bledsoe,40,0.9,34,58,29.3,-15.4
2002,Eric Montross,49,0.9,46,69,33.3,-10.5
1997,Eric Snow,67,0.9,63,75,42,-0.9
2001,Erick Dampier,43,0.9,40,69,29,-14.5
2008,Fabricio Oberto,82,0.9,74,78,47.4,1.4
2000,Felipe Lopez,65,0.9,59,90,32.8,-10.9
2002,Felipe Lopez,67,0.9,58,69,42,-1.8
2007,Francisco Elson,70,0.9,64,89,36,-9.5
2014,Gal Mekel,31,0.9,27,38,35.5,-11.2
2002,George Lynch,45,0.9,41,89,23,-20.8
1998,Grant Long,40,0.9,34,52,32.7,-10.2
2012,Greg Stiemsma,55,0.9,48,50,48,3.3
2021,Harry Giles III,38,0.9,34,36,47.2,-4.6
1997,Herb Williams,21,0.9,18,30,30,-12.9
1998,Horacio Llamas,8,0.9,7,9,38.9,-4
1998,Hot Rod Williams,71,0.9,66,79,41.8,-1.1
2013,Ian Mahinmi,80,0.9,74,115,32.2,-14
2006,Ike Diogu,69,0.9,64,80,40,-5.1
2007,Ike Diogu,59,0.9,56,58,48.3,2.8
2019,Jacob Evans,30,0.9,26,35,37.1,-12.4
1999,Jacque Vaughn,19,0.9,18,24,37.5,-4.6
2018,JaKarr Sampson,22,0.9,19,17,55.9,6.4
2005,Jamaal Magloire,23,0.9,20,44,22.7,-21.7
2015,James Johnson,70,0.9,63,91,34.6,-11.7
2015,Jared Cunningham,19,0.9,18,20,45,-1.3
2016,Jared Cunningham,44,0.9,40,53,37.7,-9.4
2003,Jared Jeffries,20,0.9,17,19,44.7,1.4
2001,Jason Caffey,70,0.9,64,82,39,-4.5
2002,Jason Caffey,23,0.9,20,20,50,6.2
2009,Jason Hart,39,0.9,36,63,28.6,-17.9
2021,Javonte Green,41,0.9,38,36,52.8,1
2012,Jermaine O'Neal,25,0.9,22,39,28.2,-16.5
2010,Jermaine Taylor,31,0.9,27,46,29.3,-16.3
2004,Jerome Williams,68,0.9,60,97,30.9,-12.2
2011,Joakim Noah,48,0.9,42,59,35.6,-10.4
2015,Joakim Noah,67,0.9,60,87,34.5,-11.8
2000,Joe Kleine,7,0.9,6,10,30,-13.7
1998,Joe Wolf,57,0.9,53,86,30.8,-12
2009,Johan Petro,49,0.9,44,73,30.1,-16.3
1998,John Crotty,26,0.9,24,46,26.1,-16.8
2020,John Konchar,19,0.9,17,12,70.8,20.3
1998,Johnny Taylor,12,0.9,11,21,26.2,-16.7
2013,Jon Leuer,28,0.9,24,31,38.7,-7.5
2010,Jordan Hill,47,0.9,42,70,30,-15.6
2011,Jordan Hill,72,0.9,68,90,37.8,-8.2
2012,Josh Davis,15,0.9,14,16,43.8,-0.9
2022,Josh Okogie,49,0.9,42,48,43.8,-6.5
2018,Julius Randle,82,0.9,74,112,33,-16.4
1999,Keith Booth,39,0.9,37,68,27.2,-14.9
2004,Keith McLeod,33,0.9,29,55,26.4,-16.7
2005,Kelvin Cato,62,0.9,58,85,34.1,-10.3
2003,Ken Johnson,16,0.9,14,22,31.8,-11.5
2014,Kevin Seraphin,53,0.9,48,62,38.7,-8
2003,Kevin Willis,71,0.9,64,100,32,-11.3
2013,Kris Humphries,65,0.9,58,88,33,-13.2
2002,Kwame Brown,57,0.9,52,84,31,-12.9
2017,Kyle Wiltjer,14,0.9,12,14,42.9,-5.4
2012,Lance Stephenson,42,0.9,38,66,28.8,-15.9
2001,Laron Profit,35,0.9,31,52,29.8,-13.7
1999,Lee Mayberry,9,0.9,8,13,30.8,-11.3
2007,Lorenzen Wright,67,0.9,58,77,37.7,-7.8
1999,Lorenzen Wright,48,0.9,44,63,34.9,-7.1
1997,Lorenzen Wright,77,0.9,69,101,34.2,-8.8
2019,Lorenzo Brown,26,0.9,24,33,36.4,-13.2
2020,Malcolm Miller,28,0.9,26,23,56.5,6
2006,Malik Rose,72,0.9,65,118,27.5,-17.5
2018,Marcin Gortat,82,0.9,76,95,40,-9.5
2000,Mark Strickland,58,0.9,54,83,32.5,-11.1
2021,Matthew Dellavedova,13,0.9,12,26,23.1,-28.7
2008,Maurice Ager,26,0.9,23,38,30.3,-15.8
2020,Michael Frazier II,13,0.9,12,23,26.1,-24.4
1999,Michael Hawkins,24,0.9,21,30,35,-7.1
2014,Michael Kidd-Gilchrist,62,0.9,53,97,27.3,-19.4
2004,Mike Wilks,26,0.9,24,20,60,16.9
2000,Mirsad Turkcan,17,0.9,16,24,33.3,-10.3
2003,Monty Williams,21,0.9,18,23,39.1,-4.2
2020,Nassir Little,48,0.9,44,65,33.8,-16.6
2021,Nate Darling,7,0.9,6,7,42.9,-8.9
2005,Nazr Mohammed,77,0.9,70,101,34.7,-9.7
2005,Nene,55,0.9,48,94,25.5,-18.8
2008,Nene,16,0.9,14,18,38.9,-7.2
2016,Nerlens Noel,67,0.9,59,117,25.2,-21.9
2009,Nick Collison,71,0.9,66,97,34,-12.4
2013,Nick Collison,81,0.9,70,83,42.2,-4
2015,Nikola Pekovic,31,0.9,28,36,38.9,-7.4
2005,Nikoloz Tskitishvili,35,0.9,30,54,27.8,-16.6
2006,Nikoloz Tskitishvili,17,0.9,15,20,37.5,-7.6
2017,Noah Vonleh,74,0.9,64,71,45.1,-3.2
2018,Omri Casspi,53,0.9,46,35,65.7,16.3
1999,Othella Harrington,41,0.9,38,65,29.2,-12.8
2007,Pat Burke,23,0.9,20,36,27.8,-17.7
2007,Patrick O'Bryant,16,0.9,14,24,29.2,-16.3
2022,Paul Millsap,33,0.9,30,48,31.3,-19
2004,Paul Shirley,7,0.9,6,12,25,-18.1
2005,Paul Shirley,9,0.9,8,9,44.4,0.1
2004,Quincy Lewis,14,0.9,12,13,46.2,3
2007,Rajon Rondo,78,0.9,72,118,30.5,-14.9
1997,Randolph Childress,23,0.9,20,26,38.5,-4.5
2000,Rasho Nesterovic,82,0.9,70,108,32.4,-11.2
2001,Rasho Nesterovic,73,0.9,64,84,38.1,-5.4
2019,Rawle Alkins,10,0.9,9,12,37.5,-12.1
2007,Rawle Marshall,40,0.9,36,43,41.9,-3.6
2000,Rick Brunson,37,0.9,34,42,40.5,-3.2
2000,Rick Hughes,21,0.9,18,23,39.1,-4.5
2014,Robert Sacre,65,0.9,58,87,33.3,-13.4
2016,Robert Sacre,25,0.9,22,21,52.4,5.3
2021,Rodions Kurucs,21,0.9,18,23,39.1,-12.7
2019,Rondae Hollis-Jefferson,59,0.9,51,95,26.8,-22.7
2006,Ronnie Price,29,0.9,26,41,31.7,-13.4
2007,Ronny Turiaf,72,0.9,68,78,43.6,-1.9
1999,Ryan Stack,18,0.9,16,16,50,7.9
2019,Salah Mejri,36,0.9,33,39,42.3,-7.3
2015,Samuel Dalembert,32,0.9,28,36,38.9,-7.4
2006,Scot Pollard,45,0.9,42,61,34.4,-10.7
1999,Scott Williams,7,0.9,6,10,30,-12.1
2021,Sean McDermott,18,0.9,17,24,35.4,-16.4
2018,Shaquille Harrison,23,0.9,20,27,37,-12.4
2019,Shaun Livingston,64,0.9,56,67,41.8,-7.8
2003,Shawn Bradley,81,0.9,74,111,33.3,-10
2012,Solomon Jones,21,0.9,18,26,34.6,-10
2005,Stacey Augmon,55,0.9,50,67,37.3,-7.1
2020,Stanley Johnson,25,0.9,23,29,39.7,-10.8
1997,Stevin Smith,8,0.9,7,11,31.8,-11.1
2003,Stromile Swift,67,0.9,58,99,29.3,-14
2015,T.J. Warren,40,0.9,37,59,31.4,-14.9
2003,Tariq Abdul-Wahad,14,0.9,12,23,26.1,-17.3
2006,Terence Morris,22,0.9,20,38,26.3,-18.8
2013,Terrence Jones,19,0.9,17,30,28.3,-17.8
2016,Terry Rozier,39,0.9,34,61,27.9,-19.2
2016,Timofey Mozgov,76,0.9,65,81,40.1,-7
1999,Toby Bailey,27,0.9,25,39,32.1,-10
1999,Todd Fuller,42,0.9,36,47,38.3,-3.8
2009,Tony Allen,46,0.9,40,71,28.2,-18.3
2015,Tony Allen,63,0.9,54,66,40.9,-5.4
1998,Tony Dumas,7,0.9,6,5,60,17.1
2004,Tony Massenburg,59,0.9,52,73,35.6,-7.5
2004,Tracy Murray,7,0.9,6,8,37.5,-5.6
2002,Travis Knight,49,0.9,42,75,28,-15.8
2008,Trevor Ariza,35,0.9,31,47,33,-13.1
2012,Trey Thompkins,24,0.9,22,38,28.9,-15.7
2013,Tyler Hansbrough,81,0.9,70,124,28.2,-17.9
2013,Tyshawn Taylor,38,0.9,34,28,60.7,14.5
2014,Tyshawn Taylor,23,0.9,21,33,31.8,-14.9
2020,Vic Law,8,0.9,7,11,31.8,-18.7
2005,Vitaly Potapenko,33,0.9,30,35,42.9,-1.5
2003,Vladimir Stepania,79,0.9,72,125,28.8,-14.5
2017,Wade Baldwin IV,33,0.9,29,48,30.2,-18.1
2012,Walker Russell,28,0.9,26,34,38.2,-6.4
1997,Walter McCarty,35,0.9,32,39,41,-1.9
2022,Wenyen Gabriel,26,0.9,24,30,40,-10.2
2018,Wes Iwundu,62,0.9,55,90,30.6,-18.9
2006,Will Bynum,15,0.9,14,22,31.8,-13.3
2015,Will Bynum,7,0.9,6,21,14.3,-32
2019,Willy Hernangomez,58,0.9,55,53,51.9,2.3
2002,Aaron Williams,82,0.8,68,87,39.1,-4.7
2003,Aaron Williams,81,0.8,62,101,30.7,-12.6
2006,Aaron Williams,48,0.8,36,47,38.3,-6.8
2009,Acie Law,55,0.8,44,74,29.7,-16.7
2007,Adrian Griffin,54,0.8,44,51,43.1,-2.3
2008,Alando Tucker,6,0.8,5,8,31.3,-14.8
2020,Alen Smailagic,14,0.8,11,17,32.4,-18.1
2021,Alen Smailagic,15,0.8,12,10,60,8.2
2017,Alex Len,77,0.8,65,104,31.3,-17
2018,Alfonzo McKinnie,14,0.8,11,10,55,5.5
1999,Alvin Sims,4,0.8,3,2,75,32.9
2016,Amar'e Stoudemire,52,0.8,40,44,45.5,-1.7
2019,Amir Johnson,51,0.8,40,43,46.5,-3.1
2021,Anderson Varejao,5,0.8,4,6,33.3,-18.5
2015,Andre Dawkins,4,0.8,3,6,25,-21.3
2012,Andrew Bynum,60,0.8,49,80,30.6,-14
2021,Anthony Gill,26,0.8,21,25,42,-9.8
2003,Antoine Rigaudeau,11,0.8,9,27,16.7,-26.7
2001,Antonio Harvey,12,0.8,10,12,41.7,-1.8
2012,Armon Johnson,9,0.8,7,14,25,-19.7
2003,Art Long,26,0.8,22,27,40.7,-2.6
2003,Ben Wallace,73,0.8,57,110,25.9,-17.4
2005,Ben Wallace,74,0.8,61,126,24.2,-20.2
2016,Brandon Bass,66,0.8,50,75,33.3,-13.8
2018,Brandon Paul,64,0.8,51,67,38.1,-11.4
2001,Brent Price,6,0.8,5,9,27.8,-15.7
2002,Brent Price,20,0.8,15,21,35.7,-8.1
1998,Brian Oliver,5,0.8,4,8,25,-17.9
2009,Brian Skinner,51,0.8,40,62,32.3,-14.2
2015,Bruno Caboclo,8,0.8,6,6,50,3.7
2004,Bruno Sundov,5,0.8,4,4,50,6.9
2016,Bryce Cotton,8,0.8,6,7,42.9,-4.3
2017,C.J. Wilcox,22,0.8,17,26,32.7,-15.6
2000,Cal Bowdler,46,0.8,38,56,33.9,-9.7
2003,Calvin Booth,47,0.8,38,57,33.3,-10
