Year,Player,GP,Paint PTS,Paint PPG,Paint FGA,Paint FG%,Paint rFG%,Outside PPG, Outside GP,Outside PTS,Outside FGA,Outside eFG%,Outside reFG%,Midrange PPG,Midrange PTS,Midrange FGA,Midrange FG%,Midrange rFG%
2022,2022 Robert Williams III,61,534,8.8,357,74.8,18.2,0.1,61,8,11,36.4,-13.8,0.1,8,10,40,-0.6
2022,2022 Robert Woodard II,12,2,0.2,9,11.1,-45.5,0.3,12,3,7,21.4,-28.8,0,0,3,0,-40.6
2022,2022 Robin Lopez,36,210,5.8,176,59.7,3,0.3,36,12,22,27.3,-22.9,0.2,6,17,17.6,-23
2022,2022 Rodney Hood,52,38,0.7,34,55.9,-0.7,2.1,52,107,123,43.5,-6.7,0.4,20,34,29.4,-11.2
2022,2022 Rodney McGruder,51,66,1.3,65,50.8,-5.9,3.7,51,188,159,59.1,8.9,0.3,14,14,50,9.4
2022,2022 Romeo Langford,48,94,2,90,52.2,-4.4,2.1,48,101,100,50.5,0.3,0.3,14,16,43.8,3.1
2022,2022 Royce O'Neale,77,166,2.2,133,62.4,5.8,4.7,77,359,310,57.9,7.7,0,2,5,20,-20.6
2022,2022 Rudy Gay,55,126,2.3,121,52.1,-4.6,4.7,55,258,258,50,-0.2,0.9,48,55,43.6,3
2022,2022 Rudy Gobert,66,724,11,503,72,15.3,0.0,66,0,3,0,-50.2,0,0,1,0,-40.6
2022,2022 Rui Hachimura,42,192,4.6,155,61.9,5.3,5.6,42,237,226,52.4,2.2,1.7,72,103,35,-5.7
2022,2022 Russell Westbrook,78,764,9.8,741,51.6,-5.1,5.3,78,411,492,41.8,-8.4,2.2,174,227,38.3,-2.3
2022,2022 Ryan Arcidiacono,10,4,0.4,2,100,43.4,1.2,10,12,10,60,9.8,0,0,1,0,-40.6
2022,2022 Saben Lee,37,108,2.9,111,48.6,-8,1.2,37,44,66,33.3,-16.9,0.1,2,6,16.7,-24
2022,2022 Saddiq Bey,82,376,4.6,392,48,-8.7,9.0,82,735,735,50,-0.2,1.2,102,134,38.1,-2.6
2022,2022 Sam Dekker,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0
2022,2022 Sam Hauser,26,8,0.3,6,66.7,10,2.2,26,57,44,64.8,14.6,0,0,0,0,0
2022,2022 Sam Merrill,6,2,0.3,1,100,43.4,3.5,6,21,23,45.7,-4.6,0,0,0,0,0
2022,2022 Sandro Mamukelashvili,41,68,1.7,60,56.7,0,1.7,41,68,55,61.8,11.6,0,2,3,33.3,-7.3
2022,2022 Santi Aldama,32,92,2.9,81,56.8,0.2,0.6,32,20,51,19.6,-30.6,0.1,2,3,33.3,-7.3
2022,2022 Scottie Barnes,74,678,9.2,588,57.7,1,4.0,74,294,340,43.2,-7,1.7,126,154,40.9,0.3
2022,2022 Scottie Lewis,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0
2022,2022 Scotty Hopson,1,0,0,1,0,-56.6,4.0,1,4,3,66.7,16.5,4,4,2,100,59.4
2022,2022 Sekou Doumbouya,2,8,4,6,66.7,10,1.5,2,3,2,75,24.8,0,0,0,0,0
2022,2022 Semi Ojeleye,30,26,0.9,42,31,-25.7,1.6,30,49,56,43.8,-6.5,0.1,4,7,28.6,-12.1
2022,2022 Serge Ibaka,54,182,3.4,147,61.9,5.3,2.8,54,151,149,50.7,0.5,0.7,40,50,40,-0.6
