Season,Team,Opponent eFG%,Opponent TS%
1993-94,GSW,48.8,52.7
1992-93,GSW,50.1,54.8
1991-92,GSW,49.9,54.5
1990-91,GSW,49.7,55.0
1989-90,GSW,49.4,54.1
1988-89,GSW,47.9,52.7
1987-88,GSW,51.1,56.1
1986-87,GSW,50.3,55.1
1985-86,GSW,52.4,56.4
1984-85,GSW,54.0,58.3
1983-84,GSW,51.9,56.2
1982-83,GSW,51.3,55.4
1981-82,GSW,49.3,54.0
1980-81,GSW,50.7,55.1
1979-80,GSW,49.8,54.7
1978-79,GSW,48.1,52.4
1977-78,GSW,46.5,51.4
1976-77,GSW,47.0,51.4
2021-22,HOU,55.4,58.9
2020-21,HOU,55.5,58.9
2019-20,HOU,52.9,56.3
2018-19,HOU,52.5,56.2
2017-18,HOU,52.1,55.1
2016-17,HOU,51.9,55.6
2015-16,HOU,51.6,55.4
2014-15,HOU,48.6,52.6
2013-14,HOU,48.9,52.7
2012-13,HOU,50.2,54.0
2011-12,HOU,49.0,53.1
2010-11,HOU,50.0,54.3
2009-10,HOU,51.1,55.0
2008-09,HOU,47.9,51.6
2007-08,HOU,46.5,50.8
2006-07,HOU,46.6,51.2
2005-06,HOU,47.2,51.8
2004-05,HOU,45.9,50.8
2003-04,HOU,44.7,49.5
2002-03,HOU,46.2,50.6
2001-02,HOU,49.1,52.5
2000-01,HOU,47.5,51.5
1999-00,HOU,48.1,52.2
1998-99,HOU,46.1,49.9
1997-98,HOU,49.9,53.7
1996-97,HOU,48.1,51.6
1995-96,HOU,49.5,53.0
1994-95,HOU,48.9,52.7
1993-94,HOU,45.8,49.7
1992-93,HOU,47.4,51.4
1991-92,HOU,47.7,51.9
1990-91,HOU,46.9,51.4
1989-90,HOU,47.5,51.9
1988-89,HOU,48.1,52.9
1987-88,HOU,47.3,52.2
1986-87,HOU,47.0,52.4
1985-86,HOU,49.7,54.2
1984-85,HOU,48.7,53.8
1983-84,HOU,48.6,53.9
1982-83,HOU,50.5,54.9
1981-82,HOU,50.0,53.8
1980-81,HOU,49.6,53.5
1979-80,HOU,49.9,54.4
1978-79,HOU,49.8,53.6
1977-78,HOU,48.2,52.7
1976-77,HOU,46.5,51.5
2021-22,IND,55.2,58.7
2020-21,IND,53.1,56.7
2019-20,IND,51.1,54.8
2018-19,IND,51.6,54.9
2017-18,IND,52.7,55.8
2016-17,IND,51.2,55.5
2015-16,IND,48.9,52.8
2014-15,IND,47.8,52.1
2013-14,IND,46.0,50.1
2012-13,IND,45.3,49.5
2011-12,IND,47.6,51.8
2010-11,IND,48.7,53.1
2009-10,IND,49.0,53.8
2008-09,IND,49.9,54.9
2007-08,IND,49.8,54.8
